ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,DIRECCION,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO,fecha_instalacion_converted,direccion_tipo_de_via,direccion_nombre,direccion_numero,apto_consumo_humano
3568802,"Fuentes de beber",153,QUINTANA,15,"CIUDAD LINEAL",OPERATIVO,444726.65,4476271.89,ETRS89,4.043.525.439,-365.168.880,"CALLE VIRGEN DE LLUC, 42",28027,"PARQUE CALERO, JUNTO ÁREA CANINA",11109420,"2017-10-13 00:00:00.0",FUE_15_0123,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",2017-10-13,CALLE,"VIRGEN DE LLUC",42,Sí
5108929,"Fuentes de beber",12,EMBAJADORES,1,CENTRO,OPERATIVO,440133.39,4473044.21,ETRS89,4.040.586.001,-370.553.708,"RONDA TOLEDO, 9",28005,"Parque Casino de la Reina",20150618,"2019-05-24 00:00:00.0",FUE_01_0063,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",2019-05-24,RONDA,TOLEDO,9,Sí
5109125,"Fuentes de beber",12,EMBAJADORES,1,CENTRO,OPERATIVO,440116.53,4473053.82,ETRS89,4.040.594.537,-370.573.667,"RONDA TOLEDO, 7",28005,"Parque Casino de la Reina",11001954,"2019-05-24 00:00:00.0",FUE_01_0064,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA NEPTUNO",2019-05-24,RONDA,TOLEDO,7,Sí
5212696,"Fuentes de beber",101,"LOS CARMENES",10,LATINA,OPERATIVO,437.606.100,4.472.480.100,ETRS89,4.040.059.270,-373.526.400,"AVENIDA ANGEL SANZ BRIZ, 4",28047,"JUNTO AREA CANINA Y CARRIL BICI, EN PARQUE CUÑA VERDE LATINA",31067192,"2023-07-07 00:00:00.0",FUE_10_0116,FUE22,ZV,MASCOTAS,"BEBEDERO TERRIER",2023-07-07,AVENIDA,"ANGEL SANZ BRIZ",4,No
5220281,"Fuentes de beber",127,PRADOLONGO,12,USERA,CERRADA_TEMPORALMENT,440.148.007,4.469.911.526,ETRS89,4.037.764.026,-370.507.043,"CALLE CRISTO DE LA VICTORIA, 199",28026,"ZONA NORTE JARDIN BOTÁNICO, EN PARQUE DE PRADOLONGO",11085922,"2023-06-26 00:00:00.0",FUE_12_0077,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-06-26,CALLE,"CRISTO DE LA VICTORIA",199,Sí
1118921,"Fuentes de beber",43,"FUENTE DEL BERRO",4,SALAMANCA,CERRADA_TEMPORALMENT,443.881.340,4.475.590.910,ETRS89,4.042.906.316,-366.159.450,"PLAZA AMERICA ESPAÑOLA, 1",28028,"ACCESO FINAL PARQUE FUENTE DEL BERRO, PROXIMO A AREA CANINA",31070561,"2017-04-27 00:00:00.0",FUE_04_0039,FUE22,ZV,MASCOTAS,"BEBEDERO TERRIER",2017-04-27,PLAZA,"AMERICA ESPAÑOLA",1,No
5154625,"Fuentes de beber",83,PEÑAGRANDE,8,"FUENCARRAL - EL PARDO",CERRADA_TEMPORALMENT,438.845.032,4.480.387.121,ETRS89,4.047.191.427,-372.142.620,"CALLE JOAQUIN LORENZO, 5 B",28035,"PARQUE ENTRE C/VALLE DE MENA Y JOAQUÍN LORENZO",31009888,"2019-06-26 00:00:00.0",FUE_08_0169,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA TERRIER",2019-06-26,CALLE,"JOAQUIN LORENZO","5 B",Sí
5216235,"Fuentes de beber",193,VALDERRIVAS,19,VICALVARO,OPERATIVO,448541.28,4471642.73,ETRS89,4.039.379.669,-360.634.123,"AVENIDA DE LAS COMUNIDADES, 161",28032,"ZV POSTERIOR C/ MINERVA Nº157",20180442,"2019-11-28 00:00:00.0",FUE_19_0143,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA TERRIER",2019-11-28,AVENIDA,"DE LAS COMUNIDADES",161,Sí
5219912,"Fuentes de beber",72,ARAPILES,7,CHAMBERI,OPERATIVO,439733.47,4476105.84,ETRS89,4.043.341.171,-371.053.998,"CALLE GALILEO, 35",28015,"Parque José Luis Sampedro",31044128,"2019-12-26 00:00:00.0",FUE_07_0032,FUE22,ZV,MASCOTAS,"BEBEDERO TERRIER",2019-12-26,CALLE,GALILEO,35,No
5220275,"Fuentes de beber",127,PRADOLONGO,12,USERA,CERRADA_TEMPORALMENT,439.845.780,4.469.898.550,ETRS89,4.037.750.160,-370.862.926,"CALLE CRISTO DE LA VICTORIA, 245",28026,"POSTERIOR A PUNTO LIMPIO USERA, EN PARQUE DE PRADOLONGO",31028698,"2023-06-16 00:00:00.0",FUE_12_0075,FUE22,ZV,PERSONAS_Y_MASCOTAS,"MIXTA ESTELA",2023-06-16,CALLE,"CRISTO DE LA VICTORIA",245,Sí
